id,Recency,Frequency,Monetary
1,139,13,1147
2,447,10,939
3,164,7,690
4,120,11,1191
5,213,13,996
6,111,9,1005
7,286,13,1290
8,183,8,908
9,264,5,519
10,165,7,947
11,152,6,593
12,120,17,1515
13,513,8,847
14,25,10,809
15,473,7,903
16,209,12,1085
17,16,9,665
18,83,13,1141
19,177,16,1286
20,409,8,844
21,201,14,1494
22,199,10,1051
23,77,9,1029
24,187,9,819
25,433,8,488
26,134,6,337
27,246,15,1509
28,179,23,2239
29,168,15,1061
30,70,11,1173
31,68,9,666
32,197,10,739
33,125,8,650
34,89,18,1718
35,314,14,1344
36,82,13,1044
37,169,8,602
38,62,15,1227
39,78,11,1117
40,28,12,741
41,65,7,318
42,67,12,1160
43,475,9,765
44,197,6,469
45,71,11,1075
46,79,10,986
47,39,11,857
48,124,9,1060
49,150,13,1494
50,243,9,959
51,212,8,1110
52,114,9,724
53,283,9,718
54,104,7,1001
55,185,12,956
56,98,8,814
57,65,9,598
58,88,6,858
59,229,14,1180
60,128,13,1019
61,70,12,978
62,67,12,1093
63,182,5,583
64,168,9,1043
65,216,11,748
66,488,3,243
67,37,9,719
68,147,9,811
69,119,9,770
70,110,16,1808
71,188,8,846
72,219,9,647
73,162,12,1274
74,408,10,803
75,373,8,827
76,473,6,559
77,289,7,548
78,540,4,598
79,122,9,648
80,74,17,1701
81,121,11,1408
82,167,10,1128
83,183,12,1007
84,175,8,687
85,200,7,722
86,119,8,808
87,123,17,1426
88,98,8,640
89,202,12,1395
90,190,10,1108
91,110,10,1047
92,507,7,880
93,285,6,480
94,207,7,679
95,38,14,1296
96,126,8,1040
97,265,8,1144
98,163,8,569
99,279,11,1261
100,256,8,539
101,218,10,926
102,184,10,756
103,513,8,740
104,518,5,523
105,168,11,1125
106,257,12,935
107,173,15,1352
108,38,12,1030
109,92,11,1174
110,35,5,457
111,126,13,1000
112,222,5,489
113,204,8,705
114,299,4,115
115,166,11,1124
116,156,13,808
117,36,8,682
118,255,8,1023
119,94,4,226
120,90,6,557
121,256,8,542
122,17,10,1210
123,157,10,847
124,192,13,1378
125,82,7,656
126,125,10,747
127,130,10,1152
128,208,12,889
129,147,13,1281
130,32,8,845
131,305,7,582
132,431,5,534
133,149,8,688
134,221,11,992
135,215,10,987
136,62,12,1157
137,508,5,657
138,358,8,745
139,191,16,1187
140,39,10,958
141,53,10,747
142,196,12,986
143,126,10,1041
144,236,17,1789
145,396,10,1126
146,31,14,1262
147,482,5,321
148,94,9,727
149,52,13,1072
150,29,11,775
151,216,11,1151
152,15,7,749
153,55,11,1166
154,228,8,552
155,34,12,1225
156,62,9,955
157,233,6,461
158,349,5,428
159,218,3,437
160,216,8,634
161,147,9,1078
