hero,comic
"FROST, CARMILLA",AA2 35
KILLRAVEN,AA2 35
M'SHULLA,AA2 35
24-HOUR MAN,AA2 35
OLD SKULL,AA2 35
G'RATH,AA2 35
3-D MAN,M/PRM 35
3-D MAN,M/PRM 36
3-D MAN,M/PRM 37
HUMAN ROBOT,WI? 9
MARVEL BOY III,WI? 9
GORILLA-MAN,WI? 9
3-D MAN,WI? 9
VENUS II,WI? 9
HUMAN ROBOT,AVF 4
GORILLA-MAN,AVF 4
"JONES, RICHARD MILHO",AVF 4
3-D MAN,AVF 4
WASP,AVF 4
LIBRA,AVF 4
CAPTAIN AMERICA,AVF 4
VENUS II,AVF 4
HAWK,AVF 4
ANT-MAN,AVF 4
MARVEL BOY III,AVF 4
MARVEL BOY III,AVF 5
VENUS II,AVF 5
"JONES, RICHARD MILHO",AVF 5
PHARAOH RAMA-TUT,AVF 5
GORILLA-MAN,AVF 5
HUMAN ROBOT,AVF 5
CAPTAIN AMERICA,AVF 5
HAWK,AVF 5
3-D MAN,AVF 5
ANT-MAN,AVF 5
WASP,AVF 5
3-D MAN,H2 251
"BANNER, BETTY ROSS T",H2 251
"SLOAN, FRED",H2 251
DOC SAMSON,H2 251
"ROSS, GEN. THADDEUS",H2 251
"JONES, RICHARD MILHO",H2 251
WOODGOD,H2 251
HULK,H2 251
"SLOAN, FRED",H2 252
3-D MAN,H2 252
"ROSS, GEN. THADDEUS",H2 252
HULK,H2 252
WOODGOD,H2 252
"BANNER, BETTY ROSS T",H2 252
"JONES, RICHARD MILHO",H2 252
DOC SAMSON,H2 252
DARKSTAR,COC 1
LOBO,COC 1
INVISIBLE WOMAN,COC 1
MIKHLO,COC 1
SHROUD,COC 1
SASQUATCH,COC 1
"NORRISS, SISTER BARB",COC 1
URSA MAJOR,COC 1
CYCLOPS,COC 1
LOCKJAW [INHUMAN],COC 1
THING,COC 1
WHIZZER,COC 1
AURORA,COC 1
BLACK WIDOW,COC 1
MOCKINGBIRD,COC 1
SCARLET WITCH,COC 1
IKARIS,COC 1
IGOR,COC 1
KARNAK [INHUMAN],COC 1
ANGEL,COC 1
DEFENSOR,COC 1
"CAGE, LUKE",COC 1
SABRA,COC 1
SHADOWCAT,COC 1
ANT-MAN II,COC 1
CRYSTAL [INHUMAN],COC 1
DR. STRANGE,COC 1
PROFESSOR X,COC 1
COLLECTIVE MAN,COC 1
DR. DRUID,COC 1
QUICKSILVER,COC 1
SHE-HULK,COC 1
TORPEDO III,COC 1
BLACK PANTHER,COC 1
JACK OF HEARTS,COC 1
3-D MAN,COC 1
"DRUMM, JERICHO",COC 1
HELLCAT,COC 1
HELLSTORM,COC 1
GYPSY MOTH,COC 1
CAPTAIN AMERICA,COC 1
HULK,COC 1
IRON MAN,COC 1
QUASAR III,COC 1
SERSI,COC 1
GRANDMASTER,COC 1
CRIMSON DYNAMO V,COC 1
HAVOK,COC 1
SPIDER-WOMAN,COC 1
BLITZKRIEG,COC 1
NORTHSTAR,COC 1
STORM,COC 1
JOCASTA,COC 1
REDWING,COC 1
SUB-MARINER,COC 1
HERCULES [GREEK GOD],COC 1
DEVIL-SLAYER,COC 1
STINGRAY,COC 1
NIGHTCRAWLER,COC 1
SPIDER-MAN,COC 1
GUARDIAN,COC 1
TIGRA,COC 1
RED WOLF III,COC 1
