id,label,value,source,leaning
1,100monkeystyping.com,0,Blogarama,liberal
2,12thharmonic.com/wordpress,0,BlogCatalog,liberal
3,40ozblog.blogspot.com,0,"Blogarama,BlogCatalog",liberal
4,4lina.tblog.com,0,Blogarama,liberal
5,750volts.blogspot.com,0,Blogarama,liberal
6,95theses.blogspot.com,0,Blogarama,liberal
7,abbadabbaduo.blogspot.com,0,"Blogarama,LeftyDirectory",liberal
8,aboutpolitics.blogspot.com,0,"Blogarama,eTalkingHead",liberal
9,achingandspinning.blogspot.com,0,Blogarama,liberal
10,ackackack.com,0,BlogCatalog,liberal
11,adamtalib.blogspot.com,0,Blogarama,liberal
12,adviceforlefty.blogspot.com,0,"Blogarama,BlogCatalog,CampaignLine",liberal
13,agonist.org,0,LeftyDirectory,liberal
14,aintnobaddude.com,0,"LeftyDirectory,CampaignLine",liberal
15,ajbenjaminjr.blogspot.com,0,LabeledManually,liberal
16,alicublog.blogspot.com,0,LeftyDirectory,liberal
17,allanjenkins.typepad.com,0,BlogCatalog,liberal
18,allspinzone.blogspot.com,0,Blogarama,liberal
19,alphapredator.com/wdtgw.htm,0,Blogarama,liberal
20,alternateworlds.blogspot.com,0,Blogarama,liberal
21,althippo.blogspot.com,0,Blogarama,liberal
22,alvintostig.typepad.com,0,eTalkingHead,liberal
23,americablog.blogspot.com,0,LabeledManually,liberal
24,americablog.org,0,"eTalkingHead,CampaignLine",liberal
25,americandreamslost.blogspot.com,0,Blogarama,liberal
26,americanmuslim.blogs.com,0,Blogarama,liberal
27,americanpolitics.com,0,CampaignLine,liberal
28,americansforbayh.blogspot.com,0,"Blogarama,CampaignLine",liberal
29,amleft.blogspot.com,0,"LeftyDirectory,LabeledManually",liberal
30,amliberal.com/blog,0,"Blogarama,BlogCatalog,eTalkingHead",liberal
31,amptoons.com/blog,0,LeftyDirectory,liberal
32,anarchyxero.robfindlay.org,0,Blogarama,liberal
33,andifeelfine.blogspot.com,0,BlogCatalog,liberal
34,andymatic.com,0,Blogarama,liberal
35,angrybear.blogspot.com,0,LabeledManually,liberal
36,angrydesi.typepad.com,0,eTalkingHead,liberal
37,angryfinger.org,0,CampaignLine,liberal
38,angryhomo.blogspot.com,0,Blogarama,liberal
39,annatopia.com/home.html,0,LeftyDirectory,liberal
40,anoldsoul.blogspot.com,0,LeftyDirectory,liberal
41,anonymoussources.blogspot.com,0,"Blogarama,LeftyDirectory",liberal
42,answerguy.blogspot.com,0,Blogarama,liberal
43,anybodybutbushyall.blogspot.com,0,Blogarama,liberal
44,anywhichway.net,0,Blogarama,liberal
45,arancaytar.blogspot.com,0,"BlogCatalog,eTalkingHead",liberal
46,archpundit.com,0,BlogPulse,liberal
47,arkansastonight.com,0,Blogarama,liberal
48,asian-nation.org/headlines/index.php,0,BlogCatalog,liberal
49,asiegeofherons.blogspot.com,0,Blogarama,liberal
50,asilentrevolution.blogspot.com,0,BlogCatalog,liberal
51,askhoudari.blogspot.com,0,Blogarama,liberal
52,astroturf.uni.cc,0,BlogCatalog,liberal
53,atease.blogspot.com,0,Blogarama,liberal
54,atomicairship.com,0,"Blogarama,eTalkingHead",liberal
55,atrios.blogspot.com,0,"BlogPulse,LeftyDirectory,CampaignLine",liberal
56,atrios.blogspot.com/ ,0,LabeledManually,liberal
57,aurelientt.blogspot.com,0,Blogarama,liberal
58,awards5.tripod.com/tarasblog,0,BlogCatalog,liberal
59,b-patton.blogspot.com,0,Blogarama,liberal
60,babylon.squarespace.com,0,Blogarama,liberal
61,badattitudes.com/mt,0,LeftyDirectory,liberal
62,bakshi.us/redskunk,0,Blogarama,liberal
63,barcidhomily.com,0,CampaignLine,liberal
64,barkingdingo.blogspot.com,0,"Blogarama,eTalkingHead",liberal
65,bartcop.com,0,CampaignLine,liberal
66,battleground-wisconsin.blogspot.com,0,"Blogarama,LabeledManually",liberal
67,battlegroundstates.blogspot.com,0,Blogarama,liberal
68,beastsbelly.blogspot.com,0,eTalkingHead,liberal
69,bentcorner.blogspot.com,0,BlogCatalog,liberal
70,bettyblog.com,0,CampaignLine,liberal
71,bigbloosky.blogspot.com,0,BlogCatalog,liberal
72,billmon.org,0,LeftyDirectory,liberal
73,billsrants.blogspot.com,0,Blogarama,liberal
74,blackwingleftbird.blogspot.com,0,Blogarama,liberal
75,blog.dccc.org,0,LabeledManually,liberal
76,blog.dennisfox.net,0,eTalkingHead,liberal
77,blog.glinka.com,0,Blogarama,liberal
78,blog.johnkerry.com,0,"BlogPulse,CampaignLine",liberal
79,blog.kenlan.net,0,Blogarama,liberal
80,blog.mintruth.com,0,Blogarama,liberal
81,blog.veggiedude.com,0,Blogarama,liberal
82,blog01.kintera.com/dnccblog,0,CampaignLine,liberal
83,blog01.kintera.com/emilysblog,0,CampaignLine,liberal
84,bloganonymous.com,0,CampaignLine,liberal
85,blogforamerica.com,0,"BlogPulse,LabeledManually,CampaignLine",liberal
86,blogforarizona.com,0,"LeftyDirectory,eTalkingHead",liberal
87,blogfreeordie.blogspot.com,0,Blogarama,liberal
88,blogitics.com,0,eTalkingHead,liberal
89,blogs.salon.com/0002874,0,LeftyDirectory,liberal
90,blogs.salon.com/0003364,0,Blogarama,liberal
91,blogs.salon.com/0004024,0,Blogarama,liberal
92,blogslut.com,0,eTalkingHead,liberal
93,blosteam.blogspot.com,0,Blogarama,liberal
94,blotts.org/polilog,0,Blogarama,liberal
95,bluegrassroots.blogspot.com,0,Blogarama,liberal
96,bluelemur.com,0,LeftyDirectory,liberal
97,blueoregon.com,0,CampaignLine,liberal
98,bluestateredstate.blogspot.com,0,BlogCatalog,liberal
99,bodyandsoul.typepad.com,0,"LeftyDirectory,LabeledManually",liberal
100,boffo.typepad.com,0,Blogarama,liberal
101,boloboffin.blogspot.com,0,Blogarama,liberal
102,bopnews.com,0,"BlogPulse,CampaignLine",liberal
103,boston.com/news/blogs/dnc,0,CampaignLine,liberal
104,bowles2004.com/weblog,0,CampaignLine,liberal
105,boycottsbg.com,0,LabeledManually,liberal
106,bradcarson.com/blog,0,CampaignLine,liberal
107,bradfriedman.com/bradblog,0,CampaignLine,liberal
108,brianhull.net,0,Blogarama,liberal
109,brilliantatbreakfast.blogspot.com,0,Blogarama,liberal
110,browncross.com/usualsuspects,0,Blogarama,liberal
111,brunon.blogspot.com ,0,LabeledManually,liberal
112,bryan08.tk,0,Blogarama,liberal
113,btcnews.com/btcnews,0,"Blogarama,LeftyDirectory",liberal
114,bullmooseblog.com,0,"LabeledManually,CampaignLine",liberal
115,burntorangereport.com,0,"BlogPulse,CampaignLine",liberal
116,bushlies.net/pages/10/index.htm,0,CampaignLine,liberal
117,bushmisunderestimated.blogspot.com,0,CampaignLine,liberal
118,busybusybusy.com,0,LeftyDirectory,liberal
119,buzzmachine.com,0,"BlogPulse,LeftyDirectory",liberal
120,cadat.nl,0,Blogarama,liberal
121,carpetblogger.com,0,Blogarama,liberal
122,catchingsmoke.blogspot.com,0,Blogarama,liberal
123,cbaker.org/blog,0,Blogarama,liberal
124,cemonitor.blogspot.com,0,Blogarama,liberal
125,centerpiece.blogspot.com,0,Blogarama,liberal
126,chak.org/blog,0,Blogarama,liberal
127,changeforamerica.com/blog,0,CampaignLine,liberal
128,charleypatton.blogspot.com,0,"BlogCatalog,eTalkingHead",liberal
129,charlineandjamie.com/dotnetweb01a/blogdisplay.aspx?logname=jamie&#38;logcatid=48,0,Blogarama,liberal
130,chepooka.com,0,"Blogarama,eTalkingHead",liberal
131,chestnut_tree.blogspot.com,0,Blogarama,liberal
132,chiron.typepad.com,0,Blogarama,liberal
133,churchofcriticalthinking.com,0,Blogarama,liberal
134,civicactions.com,0,Blogarama,liberal
135,cjh9999.blog-city.com,0,Blogarama,liberal
136,clarified.blogspot.com,0,"LeftyDirectory,eTalkingHead",liberal
137,claudialong.com/blog,0,eTalkingHead,liberal
138,cleancutkid.com,0,Blogarama,liberal
139,cnle.net,0,BlogCatalog,liberal
140,collegedems.com/blog,0,CampaignLine,liberal
141,conniptions.net,0,Blogarama,liberal
142,conservativessuck.blogspot.com,0,"Blogarama,LeftyDirectory",liberal
143,contrapositive.blogspot.com,0,eTalkingHead,liberal
144,corrente.blogspot.com,0,LabeledManually,liberal
145,counterspin.blogspot.com,0,"BlogPulse,LeftyDirectory",liberal
146,courtney5.us/drew,0,Blogarama,liberal
147,crankylittleblog.blogspot.com,0,Blogarama,liberal
148,crapiscommon.blogspot.com,0,"Blogarama,BlogCatalog",liberal
149,criticalviewer.com,0,Blogarama,liberal
150,crookedtimber.org,0,LeftyDirectory,liberal
151,crooksandliars.com,0,Blogarama,liberal
152,dailyblatt.blogspot.com,0,Blogarama,liberal
153,dailyblurb.blogspot.com,0,"Blogarama,BlogCatalog",liberal
154,dailyhowler.com,0,LeftyDirectory,liberal
155,dailykos.com,0,"LeftyDirectory,LabeledManually,CampaignLine",liberal
156,dailywarnews.blogspot.com,0,LabeledManually,liberal
157,damntheman.net,0,CampaignLine,liberal
158,dashnier.blogspot.com,0,BlogCatalog,liberal
159,davidsirota.com,0,LeftyDirectory,liberal
160,dawnofnewamerica.blogspot.com,0,BlogCatalog,liberal
161,deanocrats.com,0,Blogarama,liberal
162,deathpenaltyusa.blogspot.com,0,"LeftyDirectory,eTalkingHead",liberal
163,debunker.net,0,Blogarama,liberal
164,decksitters.my-expressions.com,0,BlogCatalog,liberal
165,dedspace.blogspot.com,0,Blogarama,liberal
166,delraysteve.com/blog,0,Blogarama,liberal
167,demagogue.blogspot.com,0,"LeftyDirectory,eTalkingHead",liberal
168,demleft.blogspot.com,0,"LeftyDirectory,LabeledManually",liberal
169,democrants.blogspot.com,0,CampaignLine,liberal
170,democraticunderground.com,0,"LabeledManually,CampaignLine",liberal
171,democratreport.blogspot.com,0,BlogCatalog,liberal
172,democrats.org/blog,0,LabeledManually,liberal
173,democratvoice.org,0,Blogarama,liberal
174,demoliberal.blogspot.com,0,Blogarama,liberal
175,dems2000.net,0,Blogarama,liberal
176,dems2004.com/blog,0,CampaignLine,liberal
177,dems2004.org/blog,0,CampaignLine,liberal
178,denisdekat.com,0,Blogarama,liberal
