price,PoolArea,GarageCars,Fireplaces,TotRmsAbvGrd,Baths,SqFeet,CentralAir,Age,LotSize,BldgType,HouseStyle,condition
208.5,0,2,0,8,3,1710,Y,5,8450,1Fam,2Story,5
140,0,3,1,7,1,1717,Y,91,9550,1Fam,2Story,5
250,0,3,1,9,3,2198,Y,8,14260,1Fam,2Story,5
143,0,2,0,5,2,1362,Y,16,14115,1Fam,1.5Fin,5
307,0,2,1,7,2,1694,Y,3,10084,1Fam,1Story,5
129.9,0,2,2,8,2,1774,Y,77,6120,1Fam,1.5Fin,5
118,0,1,2,5,1,1077,Y,69,7420,2fmCon,1.5Unf,6
129.5,0,1,0,5,1,1040,Y,43,11200,1Fam,1Story,5
345,0,3,2,11,3,2324,Y,1,11924,1Fam,2Story,5
144,0,1,0,4,1,912,Y,46,12968,1Fam,1Story,6
279.5,0,3,1,7,2,1494,Y,1,10652,1Fam,1Story,5
157,0,1,1,5,2,1253,Y,48,10920,1Fam,1Story,5
132,0,2,0,5,1,854,Y,78,6120,1Fam,1.5Unf,8
90,0,2,0,6,2,1296,Y,39,10791,Duplex,1Story,5
159,0,2,0,6,2,1114,Y,4,13695,1Fam,1Story,5
139,0,1,0,6,1,1339,Y,51,7560,1Fam,1Story,6
325.3,0,3,1,9,4,2376,Y,1,14215,1Fam,2Story,5
139.4,0,1,1,6,1,1108,Y,77,7449,1Fam,1.5Unf,7
230,0,2,1,7,2,1795,Y,6,9742,1Fam,1Story,5
129.9,0,2,1,6,1,1060,Y,31,4224,TwnhsE,1Story,7
256.3,0,3,1,7,2,1600,Y,2,14230,1Fam,1Story,5
207.5,0,1,2,6,1,1600,Y,49,16321,1Fam,1Story,6
68.5,0,1,0,4,1,520,N,81,6324,1Fam,1Story,6
40,0,1,0,6,1,1317,N,88,8500,1Fam,2Story,4
149.35,0,1,0,6,2,1228,Y,42,8544,1Fam,1Story,6
179.9,0,2,0,7,2,1234,Y,1,11049,1Fam,1Story,5
165.5,0,2,1,6,2,1700,Y,51,10552,1Fam,1Story,5
277.5,0,2,1,6,2,1561,Y,2,7313,TwnhsE,1Story,5
309,0,3,1,9,4,2452,Y,2,13418,1Fam,2Story,5
145,0,2,0,6,2,1097,Y,15,10859,1Fam,1Story,5
153,0,2,1,5,1,1297,Y,55,8532,1Fam,1Story,6
109,0,1,0,5,1,1057,Y,57,7922,1Fam,1Story,7
82,0,0,0,6,2,1152,N,53,6040,Duplex,1Story,5
160,0,2,1,6,2,1324,Y,41,8658,1Fam,1Story,5
170,0,1,2,5,2,1328,Y,48,16905,1Fam,1Story,6
130.25,0,1,0,5,1,938,Y,33,9200,1Fam,1Story,6
141,0,1,0,6,1,1150,Y,47,7945,1Fam,1Story,6
319.9,0,2,1,6,2,1752,Y,5,7658,TwnhsE,1Story,5
239.686,0,2,1,6,2,2149,Y,6,12822,1Fam,1.5Fin,5
249.7,0,3,0,7,2,1656,Y,1,11096,1Fam,1Story,5
113,0,0,0,8,2,1452,Y,89,4456,2fmCon,2Story,5
127,0,1,0,6,1,955,Y,41,7742,1Fam,1Story,7
114.5,0,2,1,6,1,1176,Y,72,6240,1Fam,1.5Fin,6
110,0,2,0,5,1,816,N,47,8472,Duplex,1Story,5
130,0,2,1,6,1,1360,Y,52,7134,1Fam,SLvl,5
180.5,0,2,1,7,2,1425,Y,44,10175,1Fam,1Story,5
172.5,0,2,0,7,3,1739,Y,10,2645,Twnhs,2Story,5
438.78,0,3,1,10,4,2945,Y,0,13682,1Fam,2Story,5
124.9,0,1,0,4,1,780,Y,36,7200,1Fam,1Story,7
158,0,2,0,5,2,1158,Y,2,13072,1Fam,1Story,5
101,0,1,0,6,1,1111,N,87,7200,1Fam,2.5Unf,7
202.5,0,2,1,6,2,1370,Y,1,6442,TwnhsE,1Story,5
140,0,2,0,9,2,1710,Y,89,10300,1Fam,2Story,6
219.5,0,2,0,8,3,2034,Y,12,9375,1Fam,2Story,5
317,0,3,1,9,3,2473,Y,3,9591,1Fam,2Story,5
180,0,2,1,7,2,2207,Y,40,19900,1Fam,1Story,5
226,0,2,0,7,2,1479,Y,4,10665,1Fam,1Story,5
225,0,2,1,7,2,2287,Y,53,15593,1Fam,1.5Fin,4
244,0,2,2,8,2,2223,Y,34,13651,1Fam,1Story,6
144.9,0,2,0,6,1,1086,Y,56,10200,1Fam,1Story,7
107.4,0,1,0,8,2,1605,N,95,5790,1Fam,2Story,6
