company,date,payment_type,study,PI,payment
"Alkermes, Inc.",2016-01-01,In-kind items and services,"A Phase 2, Efficacy, Safety and Tolerability Study of ALKS 3831 in Schizophrenia With Alcohol Use Disorder",373291,75
"Alkermes, Inc.",2016-01-01,In-kind items and services,"A Phase 2, Efficacy, Safety and Tolerability Study of ALKS 3831 in Schizophrenia With Alcohol Use Disorder",373291,140.8
Vertex Pharmaceuticals Incorporated,2016-01-01,Cash or cash equivalent,Clearing Lungs with ENAC Inhibition in Cystic Fibrosis,826949,9584.1
Vertex Pharmaceuticals Incorporated,2016-01-01,Cash or cash equivalent,"A Study to Evaluate the Efficacy and Safety of Lumacaftor in Combination With Ivacaftor in Subjects With CF, Homozygous for the F508del-CFTR Mutation",826949,88198.18
"Varian Medical Systems, Inc.",2016-01-04,Cash or cash equivalent,Real-time delivery with EPID -U.V.,NA,7e4
Emergent Biosolutions Inc.,2016-01-05,Cash or cash equivalent,RSDL,NA,4800
"E.R. Squibb & Sons, L.L.C.",2016-01-05,Cash or cash equivalent,Melanoma Biomarker CA210 002,157351,169094.36
"Medtronic USA, Inc.",2016-01-05,Cash or cash equivalent,APOLLO,123252,2967
"AbbVie, Inc.",2016-01-07,Cash or cash equivalent,P12-792,826949,500
Allergan Inc.,2016-01-07,Cash or cash equivalent,LONG-TERM STUDY IN US CYSTIC FIBROSIS PATIENTS RECEIVING DIGESTIVE ENZYME SUPPLEMENTS TO ASSESS ANY NARROWING OF THE LARGE INTESTINES CAUSING ADVERSE INTESTINAL SYMPTOMS FIBROSING COLONOPATHY,826949,1063.83
AxoGen,2016-01-07,Cash or cash equivalent,Comparison of Processed Nerve Allograft and Collagen Nerve Cuffs for Peripheral Nerve Repair RECON,108413,1e4
"InSightec,LTD",2016-01-07,Cash or cash equivalent,A Clinical Study to Evaluate Safety of the ExAblate Model 2100 Type 1.1 System (ExAblate 2100/2000 UF V2 System) in the Treatment of Symptomatic Uterine Fibroids,147662,22205.5
Novartis Pharmaceuticals Corporation,2016-01-08,Cash or cash equivalent,A MULTICENTER RANDOMIZED DOUBLE BLIND PLACEBO CONTROLLED STUDY OF THE SAFETY TOLERABILITY AND EFFECTS ON ARTERIAL STRUCTURE AND FUNCTION OF ACZ885 IN PATIENTS WITH INTERMITTENT CLAUDICATION,1061444,39594.33
"Seattle Genetics, Inc.",2016-01-12,Cash or cash equivalent,SG0350014,366054,620.04
"AbbVie, Inc.",2016-01-13,Cash or cash equivalent,M14-011,596090,787.67
Astellas Pharma Global Development,2016-01-14,Cash or cash equivalent,Assessment of Myocardial Flow Reserve (and Effects of Exercise Traiing in Patients with Angina and Negative Coronary Angiograms,203646,52877.91
AstraZeneca Pharmaceuticals LP,2016-01-15,Cash or cash equivalent,Affordability and Real world Antiplatelet Treatment Effectiveness After Myocardial Infarction Study Current patterns of P2Y12 receptor inhibitor use provide an excellent opportunity to test the impact of copayment reduction on clinician choice of medication patient adherence and clinical outcomes,1043167,16200
"Pharmacyclics LLC, An AbbVie Company",2016-01-15,Cash or cash equivalent,PCYC-1112-CA,744701,3464.99
Cook Research Incorporated,2016-01-18,Cash or cash equivalent,TX2 Post-approval Study,259543,100
"MicroVention, Inc.",2016-01-18,Cash or cash equivalent,HEAT,355275,13608
The Spectranetics Corporation,2016-01-18,Cash or cash equivalent,ILLUMENATE PIVOTAL,300280,5625
AstraZeneca Pharmaceuticals LP,2016-01-19,Cash or cash equivalent,Upstream Ticagrelor Registry Study,264241,14025
Boston Scientific Corporation,2016-01-19,Cash or cash equivalent,CAP2 - PREVAIL CONTINUED ACCESS REGISTRY,217198,500
Emergent Biosolutions Inc.,2016-01-19,Cash or cash equivalent,RSDL,824482,4200
Kadmon Corporation LLC,2016-01-20,Cash or cash equivalent,A Phase 1b 2a Safety Pharmacokinetic and Dose Escalation Study of KD019 in Subjects with Autosomal Dominant Polycystic Kidney Disease,279373,66723.75
Kadmon Corporation LLC,2016-01-20,In-kind items and services,A Phase 1b 2a Safety Pharmacokinetic and Dose Escalation Study of KD019 in Subjects with Autosomal Dominant Polycystic Kidney Disease,279373,5813.35
"St. Jude Medical, Inc.",2016-01-20,Cash or cash equivalent,ADVANCE ASO,217198,19923.5
Boston Scientific Corporation,2016-01-21,Cash or cash equivalent,CLINICAL EVALUATION OF THE BLAZER OPEN-IRRIGATED ABLATION CA,281489,3510.01
Vertex Pharmaceuticals Incorporated,2016-01-21,Cash or cash equivalent,An Ocular Safety Study of Ivacaftor-Treated Pediatric Patients 11 Years of Age or Younger With Cystic Fibrosis,826949,12654.69
Vertex Pharmaceuticals Incorporated,2016-01-21,Cash or cash equivalent,"A Phase 3 Study of VX-661 in Combination With Ivacaftor in Subjects Aged 12 Years and Older With Cystic Fibrosis, Who Have One F508del-CFTR Mutation and a Second Mutation That Has Been Demonstrated to be Clinically Responsive to Ivacaftor",826949,10.42
"Pharmacyclics LLC, An AbbVie Company",2016-01-25,Cash or cash equivalent,PCYC-1104-CA,12841,3851.77
"E.R. Squibb & Sons, L.L.C.",2016-01-26,Cash or cash equivalent,A Safety Trial of Nivolumab BMS 936558 in Subjects With Advanced or Metastatic Non Small Cell Lung Cancer Who Have Progressed During or After Receiving At Least One Prior Systemic Regimen CheckMate 153,768804,36535
Novartis Pharmaceuticals Corporation,2016-01-26,Cash or cash equivalent,A 12 MONTH RANDOMIZED RATER AND DOSE BLINDED STUDY TO COMPARE THE EFFICACY AND SAFETY OF FINGOLIMOD TWENTY FIVE HUNDREDTH OF A MG AND HALF OF A MG ADMINISTERED ORALLY ONCE DAILY WITH GLATIRAMER ACETATE 20 MG ADMINISTERED SUBCUTANEOUSLY ONCE DAILY IN PATIENTS WITH RELAPSING REMITTING MULTIPLE SCLEROSIS,74842,17230.07
SANOFI US SERVICES INC.,2016-01-26,Cash or cash equivalent,ODYSSEY Outcomes: Evaluation of Cardiovascular Outcomes After an Acute Coronary Syndrome During Treatment With Alirocumab SAR236553 (REGN727),NA,112.68
SANOFI US SERVICES INC.,2016-01-27,Cash or cash equivalent,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Effect of Alirocumab (SAR236553/REGN727) on the Occurrence of Cardiovascular Events in Patients Who Have Recently E",1043167,1e3
